LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
2.67	2.76	1724666358562	1013.6	519.2	1046.5	527.1
2.67	2.76	1724666358574	1014.3	521.7	1045.0	528.4
2.67	2.76	1724666358585	1014.8	523.0	1045.0	526.0
2.66	2.75	1724666358595	1016.1	524.0	1043.2	526.5
2.66	2.76	1724666358607	1012.2	522.6	1042.8	524.0
2.66	2.77	1724666358617	1012.5	523.2	1043.5	526.9
2.66	2.77	1724666358628	1015.6	523.3	1043.8	529.1
2.66	2.76	1724666358640	1014.6	522.5	1045.1	530.1
2.66	2.76	1724666358651	1013.9	524.7	1044.8	528.5
2.66	2.76	1724666358662	1014.9	525.3	1043.8	527.4
2.66	2.76	1724666358674	1015.7	523.2	1042.3	525.9
2.66	2.76	1724666358683	1015.5	524.4	1042.2	528.1
2.66	2.76	1724666358695	1016.1	523.8	1042.9	527.0
2.66	2.77	1724666358707	1017.8	525.4	1042.0	526.1
2.67	2.78	1724666358716	1017.5	524.4	1044.0	523.6
2.68	2.78	1724666358729	1017.4	525.8	1046.4	523.5
2.68	2.78	1724666358740	1016.3	527.0	1047.9	525.0
2.69	2.78	1724666358751	1015.6	524.5	1045.9	525.8
2.7	2.79	1724666358762	1015.9	527.3	1043.6	524.0
2.71	2.8	1724666358773	1015.6	526.4	1044.2	527.9
2.72	2.8	1724666358784	1015.1	529.4	1043.9	528.0
2.72	2.81	1724666358795	1013.8	527.5	1043.9	527.6
2.73	2.81	1724666358806	1014.2	527.3	1044.3	521.0
2.74	2.83	1724666358817	1015.2	525.3	1045.0	519.2
2.75	2.83	1724666358829	1018.0	516.7	1043.9	523.8
2.76	2.84	1724666358840	1017.8	516.8	1042.7	527.6
2.76	2.84	1724666358850	1028.4	508.4	1049.3	526.3
2.78	2.85	1724666358862	1047.4	502.5	1067.2	512.0
2.79	2.87	1724666358873	1065.2	488.1	1090.9	494.8
2.81	2.87	1724666358884	1071.4	479.3	1101.5	484.6
2.82	2.89	1724666358895	1072.4	476.9	1104.5	480.3
2.83	2.9	1724666358906	1070.8	475.8	1102.4	480.7
2.84	2.91	1724666358917	1071.5	472.8	1100.9	478.4
2.84	2.91	1724666358929	1071.5	469.8	1099.9	478.4
2.86	2.92	1724666358940	1070.5	471.1	1098.6	477.5
2.86	2.92	1724666358950	1070.7	472.4	1097.1	479.4
2.87	2.93	1724666358962	1065.2	468.8	1096.4	478.4
2.87	2.93	1724666358973	1065.5	466.1	1092.4	476.9
2.88	2.94	1724666358984	1062.5	466.9	1090.7	475.2
2.89	2.95	1724666358995	1064.1	467.8	1088.7	473.6
2.9	2.97	1724666359006	1064.2	468.2	1089.8	473.5
2.9	2.97	1724666359017	1064.4	468.5	1089.7	473.0
2.91	2.98	1724666359029	1064.8	467.3	1089.6	474.5
2.92	2.97	1724666359040	1062.1	467.6	1087.4	474.4
2.93	2.98	1724666359050	1061.2	465.0	1087.2	473.4
2.94	2.99	1724666359062	1058.2	466.1	1087.3	473.8
2.95	3.0	1724666359073	1056.8	465.7	1086.2	474.8
2.96	3.0	1724666359084	1056.9	465.0	1084.9	473.7
2.97	3.0	1724666359095	1057.5	464.6	1083.4	472.9
2.98	3.01	1724666359107	1058.9	463.1	1082.1	470.9
2.98	3.02	1724666359116	1058.7	466.0	1082.5	471.0
2.98	3.04	1724666359128	1054.7	465.4	1082.8	468.8
2.99	3.05	1724666359139	1055.5	465.7	1082.5	468.8
3.0	3.06	1724666359150	1056.2	464.4	1084.1	468.6
3.02	3.06	1724666359161	1055.2	465.1	1083.6	468.8
3.03	3.08	1724666359173	1055.4	467.1	1085.3	468.5
3.04	3.09	1724666359183	1057.2	467.4	1083.6	469.9
3.04	3.09	1724666359195	1059.7	467.4	1082.7	471.8
3.06	3.11	1724666359206	1058.0	467.7	1083.4	470.6
3.06	3.12	1724666359217	1057.0	467.5	1083.4	466.9
3.07	3.13	1724666359228	1057.6	468.7	1084.6	468.1
3.08	3.14	1724666359239	1056.6	469.7	1084.5	467.1
3.09	3.15	1724666359250	1055.7	473.8	1084.5	472.1
3.1	3.15	1724666359261	1054.4	476.1	1083.3	471.9
3.11	3.16	1724666359273	1056.9	474.5	1083.6	473.7
3.11	3.18	1724666359283	1054.9	472.3	1082.9	471.1
3.13	3.19	1724666359295	1055.7	470.0	1082.8	472.7
3.14	3.19	1724666359307	1052.5	473.9	1080.1	476.1
3.14	3.2	1724666359317	1041.8	485.9	1072.8	486.0
3.14	3.22	1724666359328	1026.9	493.5	1055.3	493.1
3.15	3.22	1724666359340	1015.4	498.5	1035.8	501.9
3.18	3.24	1724666359349	1007.2	499.1	1021.8	505.4
3.2	3.25	1724666359361	1006.5	497.4	1019.1	508.0
3.21	3.26	1724666359373	1007.2	496.6	1021.4	503.9
3.23	3.28	1724666359384	1008.4	496.0	1021.3	501.9
3.24	3.28	1724666359395	1004.1	494.9	1022.3	498.4
3.24	3.29	1724666359406	1004.0	494.9	1021.7	498.6
3.24	3.3	1724666359417	1005.4	494.0	1023.1	497.7
3.26	3.3	1724666359428	1005.9	491.3	1023.3	499.4
3.27	3.31	1724666359439	1007.4	491.9	1021.5	501.2
3.28	3.32	1724666359451	1005.5	491.8	1022.5	504.3
3.28	3.33	1724666359462	1005.5	497.2	1021.7	502.1
3.29	3.35	1724666359473	1004.2	496.2	1025.6	501.4
3.29	3.36	1724666359484	1004.8	497.1	1024.2	500.0
3.29	3.36	1724666359495	1007.2	500.4	1025.4	497.8
3.29	3.36	1724666359506	1006.2	502.6	1024.1	499.3
3.3	3.36	1724666359516	1006.3	503.3	1023.9	500.8
3.31	3.37	1724666359529	1008.8	501.1	1023.7	501.4
3.32	3.36	1724666359539	1008.7	499.5	1024.3	502.3
3.31	3.36	1724666359549	1006.6	497.4	1026.0	501.7
3.31	3.36	1724666359561	1004.8	495.2	1026.9	502.5
3.3	3.36	1724666359573	1003.6	493.8	1028.0	499.7
3.28	3.34	1724666359584	1003.6	495.5	1025.9	500.2
3.26	3.32	1724666359595	1002.6	497.1	1025.6	499.4
3.23	3.3	1724666359606	1002.9	499.7	1024.5	502.8
3.21	3.28	1724666359617	1004.3	500.4	1026.2	505.1
3.18	3.25	1724666359628	1005.9	498.5	1026.3	506.1
3.15	3.22	1724666359639	1006.8	498.3	1026.8	503.2
3.13	3.2	1724666359650	1006.8	496.3	1028.0	501.4
3.09	3.18	1724666359662	1007.1	497.6	1029.0	500.8
3.07	3.15	1724666359673	1006.7	497.2	1027.6	501.9
3.04	3.13	1724666359684	1006.9	495.9	1026.6	500.0
3.02	3.11	1724666359695	1003.6	500.0	1027.2	498.1
3.0	3.09	1724666359706	1002.4	497.4	1030.9	498.4
2.98	3.07	1724666359716	1002.6	495.4	1031.6	498.6
2.97	3.05	1724666359728	1002.3	496.0	1032.1	502.0
2.95	3.04	1724666359739	1001.0	496.7	1030.0	499.6
2.93	3.03	1724666359750	1000.4	497.8	1031.4	501.1
2.92	3.01	1724666359762	1001.0	498.6	1032.3	500.1
2.9	3.0	1724666359773	1004.4	501.8	1033.5	501.6
2.9	2.99	1724666359784	1005.9	499.0	1032.0	500.7
2.88	2.99	1724666359795	1005.4	498.8	1032.0	502.5
2.87	2.97	1724666359806	1004.5	497.0	1031.6	501.7
2.86	2.96	1724666359817	1006.3	497.7	1032.0	501.8
2.85	2.95	1724666359828	1009.1	496.3	1032.3	501.3
2.85	2.94	1724666359839	1007.7	496.1	1034.6	501.3
2.85	2.94	1724666359850	1006.3	495.3	1035.0	499.6
2.84	2.93	1724666359861	1004.6	493.9	1033.7	498.4
2.84	2.92	1724666359872	1006.4	495.2	1033.1	501.1
2.84	2.92	1724666359883	1006.9	494.9	1034.7	503.0
2.83	2.92	1724666359894	1005.6	495.7	1036.5	503.3
2.82	2.92	1724666359906	1003.9	495.5	1036.6	501.6
2.82	2.92	1724666359917	1005.1	497.8	1038.1	502.1
2.83	2.92	1724666359928	1006.5	493.2	1037.8	501.3
2.83	2.92	1724666359939	1009.1	493.2	1037.0	502.7
2.83	2.92	1724666359950	1009.0	491.8	1035.3	504.0
2.83	2.92	1724666359962	1007.9	494.2	1034.8	505.4
2.83	2.92	1724666359973	1008.6	492.5	1038.2	503.3
2.83	2.93	1724666359983	1007.5	493.6	1037.9	500.4
2.84	2.94	1724666359995	1005.2	491.7	1037.0	500.6
2.84	2.94	1724666360006	1005.1	492.1	1038.9	499.1
2.85	2.94	1724666360016	1006.7	495.0	1039.4	499.1
2.85	2.95	1724666360028	1032.1	501.7	1058.1	504.0
2.86	2.97	1724666360039	1056.6	511.7	1082.4	520.6
2.87	2.99	1724666360050	1084.5	522.6	1111.5	531.8
2.88	3.0	1724666360062	1097.4	526.8	1128.9	539.5
2.89	3.01	1724666360073	1101.4	526.9	1132.7	538.7
2.89	3.01	1724666360083	1102.7	527.0	1131.8	537.2
2.91	3.03	1724666360094	1103.6	534.7	1130.7	537.2
2.91	3.03	1724666360106	1100.7	536.2	1129.7	535.9
2.73	2.83	1724666361793	1132.2	548.1	1153.9	549.7
2.73	2.83	1724666361804	1133.6	546.4	1155.6	549.0
2.73	2.84	1724666361814	1135.4	543.3	1156.4	550.3
2.73	2.84	1724666361827	1150.7	523.9	1173.2	539.6
2.74	2.86	1724666361838	1176.4	505.6	1206.8	510.6
2.74	2.85	1724666361849	1207.8	480.2	1233.3	484.6
2.75	2.85	1724666361860	1238.4	457.2	1257.7	462.9
2.76	2.85	1724666361871	1251.3	437.2	1267.0	450.9
2.77	2.86	1724666361882	1256.3	431.5	1271.3	445.5
2.77	2.86	1724666361893	1254.8	429.4	1273.8	444.4
2.77	2.86	1724666361904	1258.0	432.9	1272.2	443.9
2.77	2.86	1724666361915	1255.2	429.9	1268.7	445.4
2.76	2.86	1724666361926	1257.1	427.2	1266.4	443.0
2.76	2.86	1724666361938	1257.2	427.6	1269.7	444.9
2.77	2.87	1724666361949	1258.5	428.8	1270.2	442.5
2.78	2.87	1724666361960	1256.2	427.1	1269.3	443.7
2.78	2.88	1724666361972	1255.8	427.4	1266.9	444.4
2.78	2.88	1724666361982	1256.7	428.7	1266.9	445.2
2.78	2.88	1724666361993	1256.7	434.0	1266.8	446.7
2.78	2.88	1724666362005	1253.9	428.8	1265.2	445.6
2.79	2.88	1724666362015	1252.9	429.5	1264.9	446.5
2.79	2.88	1724666362026	1245.7	426.8	1266.9	446.2
2.79	2.88	1724666362038	1246.6	428.2	1268.5	448.3
2.79	2.88	1724666362048	1244.4	427.9	1269.4	446.8
2.79	2.87	1724666362059	1249.3	427.8	1267.4	444.9
2.78	2.88	1724666362070	1247.2	427.1	1268.9	447.7
2.78	2.88	1724666362082	1247.9	426.5	1268.5	449.9
2.78	2.89	1724666362093	1227.5	429.6	1254.1	450.5
2.79	2.89	1724666362104	1179.9	443.1	1205.3	455.2
