LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
2.88	2.9	1724561514192	1009.1	609.6	1011.4	613.7
2.9	2.9	1724561514203	1007.8	609.8	1009.7	615.6
2.9	2.9	1724561514214	1006.2	610.1	1010.9	615.4
2.9	2.9	1724561514226	1008.1	610.3	1011.2	619.5
2.89	2.9	1724561514237	1008.2	611.3	1012.6	618.1
2.9	2.9	1724561514247	1011.2	610.7	1009.0	618.4
2.9	2.9	1724561514259	1009.5	611.3	1009.7	617.1
2.9	2.89	1724561514270	1009.2	616.0	1005.2	617.8
2.9	2.89	1724561514281	1007.5	614.3	1007.3	617.6
2.9	2.9	1724561514293	1008.4	610.2	1007.1	619.0
2.9	2.91	1724561514304	1006.4	605.9	1011.0	616.0
2.9	2.91	1724561514314	1007.1	608.2	1008.9	614.8
2.9	2.91	1724561514325	1008.8	611.3	1009.4	615.9
2.9	2.91	1724561514337	1011.7	609.8	1008.4	619.3
2.9	2.91	1724561514347	1010.9	608.7	1013.0	620.9
2.9	2.91	1724561514359	1007.1	608.9	1011.0	616.9
2.91	2.91	1724561514370	1004.6	611.3	1010.0	617.3
2.91	2.92	1724561514381	1003.5	612.3	1005.7	615.4
2.91	2.92	1724561514397	1005.8	609.4	1005.2	614.4
2.91	2.92	1724561514403	1003.7	605.2	1006.7	613.5
2.91	2.93	1724561514415	1003.0	605.2	1007.1	613.6
2.92	2.93	1724561514425	1001.1	603.4	1007.2	614.4
2.92	2.93	1724561514437	1005.0	603.4	1004.6	614.5
2.92	2.94	1724561514448	1004.0	602.0	1006.3	614.5
2.93	2.94	1724561514458	1003.9	602.7	1005.9	615.1
2.94	2.94	1724561514470	1004.4	600.9	1004.8	617.9
2.94	2.95	1724561514481	1004.5	602.7	1004.6	617.0
2.94	2.95	1724561514492	1002.1	605.5	1005.2	616.2
2.94	2.97	1724561514503	1002.8	607.3	1004.4	619.0
2.95	2.97	1724561514514	1003.7	605.9	1003.0	619.5
2.95	2.98	1724561514525	1005.3	612.0	1004.3	624.0
2.96	2.98	1724561514536	1004.6	617.6	1005.1	620.3
2.97	2.99	1724561514547	1006.1	616.4	1005.4	618.9
2.98	2.99	1724561514559	1011.7	611.4	1004.4	618.9
2.99	3.0	1724561514570	1012.0	608.1	1008.2	617.0
2.99	3.01	1724561514581	1011.7	607.5	1006.7	615.9
3.0	3.02	1724561514593	1010.6	608.6	1005.7	617.6
3.02	3.02	1724561514603	1007.8	609.3	1005.1	618.6
3.02	3.03	1724561514613	1009.6	610.8	1005.5	620.8
3.03	3.04	1724561514626	1009.3	609.8	1003.8	619.7
3.04	3.05	1724561514636	1008.0	609.3	1000.8	618.3
3.04	3.06	1724561514647	1006.9	609.5	1000.5	618.2
3.05	3.08	1724561514659	1004.1	608.0	1001.0	618.3
3.06	3.08	1724561514669	1002.6	606.2	1000.5	617.7
3.07	3.09	1724561514681	1000.6	605.8	1001.4	619.1
3.09	3.1	1724561514692	1000.0	606.4	1000.4	620.1
3.1	3.12	1724561514704	1001.4	603.3	997.8	625.1
3.11	3.13	1724561514714	1001.3	605.0	997.5	622.9
3.12	3.14	1724561514726	1002.0	606.3	1000.1	623.9
3.13	3.15	1724561514736	1005.1	609.6	1001.3	622.4
3.14	3.16	1724561514747	1005.8	608.9	1001.8	622.2
3.15	3.18	1724561514759	1006.1	613.2	1002.6	626.2
3.17	3.18	1724561514769	1006.0	620.2	1001.7	621.7
3.18	3.19	1724561514781	1005.9	618.9	1002.4	621.8
3.19	3.2	1724561514792	1008.6	616.6	1001.9	620.1
3.2	3.22	1724561514803	1008.3	617.0	1004.1	623.6
3.2	3.23	1724561514814	1008.0	617.1	1002.6	623.6
3.22	3.23	1724561514826	1007.3	617.6	1001.6	621.8
3.23	3.24	1724561514837	1005.5	616.1	1003.5	621.4
3.24	3.25	1724561514848	1005.9	617.4	1002.9	621.7
3.25	3.26	1724561514859	1008.4	618.9	1004.3	622.6
3.27	3.27	1724561514870	1009.6	615.6	1003.9	625.0
3.28	3.27	1724561514880	1009.5	614.6	1003.9	626.1
3.29	3.29	1724561514892	1009.6	611.2	1004.6	626.6
3.3	3.3	1724561514903	1010.8	608.0	1002.8	628.3
3.3	3.31	1724561514913	1010.8	609.4	1004.2	628.4
3.31	3.32	1724561514926	1013.0	608.1	1004.5	630.9
3.32	3.32	1724561514937	1011.7	611.0	1005.2	630.1
3.32	3.32	1724561514947	1011.5	610.6	1005.9	629.4
3.33	3.33	1724561514958	1010.4	609.9	1005.5	628.0
3.35	3.34	1724561514970	1012.5	613.5	1007.9	625.5
3.35	3.34	1724561514980	1012.3	613.1	1006.5	623.3
3.36	3.35	1724561514992	1013.3	613.4	1006.4	624.2
