LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
1.47	2.69	1724662128860	1248.3	900.1	1074.4	692.3
2.39	2.97	1724662128872	1157.6	711.3	1054.4	584.5
2.99	3.01	1724662128883	1100.3	578.0	1064.8	579.0
2.96	3.06	1724662128894	1099.7	577.3	1062.1	553.7
2.94	3.05	1724662128911	1090.2	583.6	1066.1	564.8
2.96	3.07	1724662128917	1083.2	575.9	1065.7	560.3
2.97	3.07	1724662128927	1084.0	574.8	1064.4	559.7
2.83	3.07	1724662128938	1045.2	573.6	1058.9	554.5
2.45	2.75	1724662128949	1089.7	653.4	1103.1	608.3
2.28	2.65	1724662128959	1084.9	683.9	1121.7	627.4
1.98	1.97	1724662128970	1216.0	773.4	1250.2	754.9
2.47	2.7	1724662129072	838.1	860.8	879.3	860.8
2.78	2.97	1724662129083	918.9	815.8	926.8	802.0
2.82	3.0	1724662129093	937.8	802.2	936.1	777.9
3.04	3.15	1724662129105	986.0	758.3	958.7	743.5
3.06	3.16	1724662129116	985.9	747.8	957.4	738.3
3.06	3.17	1724662129127	986.4	742.6	957.6	741.7
3.06	3.18	1724662129139	986.5	741.6	955.3	738.7
3.07	3.19	1724662129150	987.9	736.4	955.7	739.6
3.08	3.2	1724662129160	988.1	735.0	955.1	738.8
3.09	3.2	1724662129172	988.0	740.0	955.2	742.3
3.1	3.21	1724662129183	985.9	743.2	954.2	744.2
3.1	3.21	1724662129194	991.8	731.6	962.1	733.2
3.1	3.21	1724662129205	1007.6	674.7	985.4	679.2
3.1	3.2	1724662129217	1029.4	597.7	1012.7	609.6
3.1	3.2	1724662129227	1042.0	553.3	1031.1	553.8
3.11	3.2	1724662129238	1049.8	531.4	1032.8	531.7
3.12	3.2	1724662129250	1052.7	533.0	1028.0	524.4
3.12	3.2	1724662129260	1053.4	533.2	1026.1	527.2
3.13	3.2	1724662129272	1053.7	538.4	1025.2	522.1
3.13	3.2	1724662129283	1050.3	539.7	1028.3	524.0
3.13	3.2	1724662129293	1049.8	538.8	1029.3	524.2
3.14	3.21	1724662129305	1050.2	539.9	1031.4	527.2
3.14	3.22	1724662129317	1054.8	537.3	1030.7	529.7
3.15	3.22	1724662129326	1054.6	538.9	1031.8	530.1
3.15	3.22	1724662129338	1055.6	533.4	1033.8	531.1
3.15	3.22	1724662129349	1056.5	531.9	1035.4	528.8
3.15	3.22	1724662129360	1056.6	531.0	1035.1	529.5
3.16	3.21	1724662129371	1055.0	530.1	1033.0	527.5
3.17	3.21	1724662129383	1054.7	526.8	1033.6	525.7
3.17	3.22	1724662129393	1053.9	527.7	1034.1	524.2
3.17	3.23	1724662129405	1054.0	528.7	1034.1	523.8
3.17	3.23	1724662129415	1051.9	526.5	1034.7	525.9
3.18	3.23	1724662129427	1051.5	527.9	1033.8	525.5
3.18	3.23	1724662129438	1051.8	526.3	1033.2	521.3
3.18	3.23	1724662129450	1054.5	529.7	1031.7	520.3
3.18	3.23	1724662129460	1054.5	526.4	1032.5	519.5
3.18	3.23	1724662129472	1054.7	527.1	1033.5	521.3
3.19	3.23	1724662129482	1050.8	528.5	1035.5	519.6
3.18	3.23	1724662129494	1052.0	527.5	1035.0	519.3
3.19	3.23	1724662129505	1063.0	515.1	1047.9	512.4
3.18	3.23	1724662129515	1083.3	482.0	1068.0	487.5
3.2	3.24	1724662129526	1104.8	453.1	1091.2	462.6
3.2	3.25	1724662129538	1120.5	420.5	1113.6	419.0
3.21	3.26	1724662129549	1135.9	402.0	1124.0	395.0
3.22	3.26	1724662129560	1138.3	397.2	1124.1	385.3
3.22	3.27	1724662129571	1144.0	398.8	1127.3	382.6
3.22	3.27	1724662129582	1141.7	397.4	1131.7	380.7
3.22	3.27	1724662129593	1143.9	395.7	1133.4	378.7
3.23	3.28	1724662129604	1145.9	390.6	1134.7	377.8
3.23	3.29	1724662129616	1144.9	391.5	1133.4	377.7
3.24	3.3	1724662129627	1143.8	392.0	1133.0	376.5
3.25	3.31	1724662129638	1143.6	388.1	1130.8	376.0
3.26	3.32	1724662129650	1145.7	383.7	1130.0	377.3
3.27	3.33	1724662129660	1145.2	383.6	1129.9	377.2
3.27	3.35	1724662129671	1144.9	381.9	1130.6	378.6
3.28	3.35	1724662129682	1145.1	380.1	1131.1	379.4
3.29	3.36	1724662129693	1146.5	379.5	1131.5	379.4
3.3	3.37	1724662129704	1145.4	380.4	1132.3	378.8
3.32	3.39	1724662129716	1145.8	382.9	1134.1	377.9
3.32	3.39	1724662129727	1143.9	383.1	1133.9	378.2
3.33	3.4	1724662129737	1141.9	386.0	1136.3	377.0
3.34	3.42	1724662129750	1141.2	389.9	1136.2	374.8
3.35	3.42	1724662129760	1142.0	389.2	1137.1	377.5
3.35	3.43	1724662129772	1145.3	388.5	1136.5	378.1
3.36	3.44	1724662129782	1146.3	390.3	1135.4	376.2
3.37	3.45	1724662129793	1145.8	389.2	1134.2	376.7
3.39	3.45	1724662129804	1145.2	390.5	1129.9	377.9
3.4	3.45	1724662129815	1145.4	383.0	1129.3	383.7
3.4	3.46	1724662129826	1139.9	387.9	1123.5	386.5
3.42	3.48	1724662129837	1103.0	433.2	1084.7	428.4
3.44	3.49	1724662129849	1050.3	528.4	1025.9	498.4
3.44	3.5	1724662129859	1001.9	623.9	970.5	585.8
3.43	3.5	1724662129872	968.0	705.8	935.0	666.8
3.43	3.52	1724662129882	956.4	744.9	922.3	723.5
3.43	3.51	1724662129893	948.9	756.7	916.5	744.8
3.44	3.52	1724662129904	949.0	754.7	917.1	751.3
3.45	3.51	1724662129915	941.8	753.5	918.2	748.3
3.45	3.52	1724662129927	941.9	755.5	918.4	749.3
3.45	3.52	1724662129938	945.2	757.1	920.5	749.8
3.46	3.54	1724662129950	947.1	758.2	918.7	749.8
3.46	3.55	1724662129959	947.2	757.3	918.9	750.5
3.47	3.55	1724662129972	940.7	758.1	916.5	747.8
3.48	3.55	1724662129982	932.4	766.8	909.8	754.0
3.5	3.57	1724662129993	896.2	811.0	868.0	785.5
3.52	3.58	1724662130004	836.1	907.6	849.3	803.8
3.53	3.6	1724662130016	748.1	1048.1	696.9	970.8
3.58	3.67	1724662130026	703.7	1126.6	603.2	1101.3
3.56	3.67	1724662130038	660.7	1205.3	603.2	1101.3
3.55	3.65	1724662130049	406.5	1601.5	312.5	1457.9
3.5	3.65	1724662130059	398.8	1651.2	312.5	1457.9
3.5	3.65	1724662130071	398.8	1651.2	312.5	1457.9
3.5	3.66	1724662130083	374.0	1770.3	234.4	1775.8
3.55	3.62	1724662130093	358.7	1831.4	220.0	1837.4
3.55	3.62	1724662130104	358.7	1831.4	220.0	1837.4
3.63	3.61	1724662130116	355.4	2329.6	196.5	2020.9
3.63	3.61	1724662130126	355.4	2329.6	170.1	2222.5
3.63	3.61	1724662130138	355.4	2329.6	170.1	2222.5
3.69	3.65	1724662130182	-148.1	527.2	677.7	166.1
3.69	3.65	1724662130192	-148.1	527.2	677.7	166.1
3.75	3.71	1724662130277	-285.5	490.3	698.0	116.4
3.75	3.74	1724662130282	-285.5	490.3	704.7	95.1
